"species","code","longitude","latitude","source","locality.eflora","plot.lucas","elevation","Forest","Non.Forest","Alpine","coord_prec"
"Veronica odora","WELT.SP017198",167.6407727,-45.3148878,"eflora","Murchison Mountains, Takahe Valley",NA,1260,0,1,1,7
"Veronica odora","5151839",168.4331,-45.3211,"lucas",NA,"W158",1093.720703,0,1,1,4
"Veronica odora","5151840",168.4331,-45.3211,"lucas",NA,"W158",1093.720703,0,1,1,4
"Veronica odora","CHR122532",168.362,-45.32339,"eflora","Southland, Eyre Creek headwaters, Short Creek.",NA,1040,0,1,1,5
"Veronica odora","CHR 122532",168.362,-45.3234,"gbif",NA,NA,1040,0,1,1,4
"Veronica odora","CHR 123622",167.341,-45.3419,"gbif",NA,NA,839.5159302,0,1,1,4
"Veronica odora","CHR123622",167.3409,-45.34195,"eflora","Freeman R., [Fiordland]",NA,807.4490967,0,1,1,5
"Veronica odora","9467880",169.132268,-45.364971,"gbif",NA,NA,1377.832397,0,1,1,6
"Veronica odora","CHR205542",168.3577,-45.3773,"eflora","Eyre Ck., Otago, on North west side of lower Windley branch",NA,945.6526489,0,1,1,4
"Veronica odora","CHR 205542",168.358,-45.3773,"gbif",NA,NA,940,0,1,1,4
"Veronica odora","CHR 140048",168.409,-45.3793,"gbif",NA,NA,614.446167,0,1,1,4
"Veronica odora","CHR140048",168.4087,-45.37932,"eflora","Eyre Creek, 16 mls. N. of Lumsden, Southland Co.,",NA,603.3618164,0,1,1,5
"Veronica odora","16311606",167.620178,-45.385463,"gbif",NA,NA,1040,0,1,1,6
"Veronica odora","13435910",167.56506,-45.386721,"gbif",NA,NA,1225.628906,0,1,1,6
"Veronica odora","CHR379250",170.0651,-45.39938,"eflora","Otago, Rock and Pillar Range, ""Lower Plateau"".",NA,1320.449951,0,1,1,5
"Veronica odora","CHR 379250",170.065,-45.401,"gbif",NA,NA,1303.998901,0,1,1,3
"Veronica odora","CHR188063",168.7779,-45.40228,"eflora","Otago, south end of Hector Range and end of Garvie Range.",NA,1300,0,1,1,5
"Veronica odora","CHR 188063",168.778,-45.4023,"gbif",NA,NA,1294.936157,0,1,1,4
"Veronica odora","5140080",167.1971,-45.4101,"lucas",NA,"K160",920,0,1,1,4
"Veronica odora","5140081",167.1971,-45.4101,"lucas",NA,"K160",920,0,1,1,4
"Veronica odora","CHR 379248",170.094,-45.4152,"gbif",NA,NA,1245.046021,0,1,1,4
"Veronica odora","CHR 194068",170.094,-45.4152,"gbif",NA,NA,1245.046021,0,1,1,4
"Veronica odora","CHR 333958",170.094,-45.4152,"gbif",NA,NA,1245.046021,0,1,1,4
"Veronica odora","CHR194068",170.0942,-45.41524,"eflora","Rock and Pillar Range, Otago",NA,1245.046021,0,1,1,5
"Veronica odora","CHR333958",170.0942,-45.41524,"eflora","Rock and Pillar, near top",NA,1245.046021,0,1,1,5
"Veronica odora","CHR379248",170.0942,-45.41524,"eflora","Otago, Rock and Pillar Range, near Ski Hut.",NA,1245.046021,0,1,1,5
"Veronica odora","WELT.SP017218",170.0666667,-45.43333333,"eflora","Rock and Pillar Range.",NA,1375.526489,0,1,1,8
"Veronica odora","13107497",170.082124,-45.441879,"gbif",NA,NA,1140,0,1,1,6
"Veronica odora","2569171",170.087543,-45.442922,"gbif",NA,NA,998.427002,0,1,1,6
"Veronica odora","CHR309255",167.23,-45.4467,"eflora","lake at head of Elizabeth Burn, Central Fiordland",NA,995,0,1,1,4
"Veronica odora","CHR 309255",167.23,-45.4467,"gbif",NA,NA,995,0,1,1,4
"Veronica odora","CHR 338350",167.225,-45.4473,"gbif",NA,NA,1108.654907,0,1,1,4
"Veronica odora","CHR338350",167.2248,-45.44734,"eflora","Mt George, Fiordland:  south side of ridge SW of lake head of Elizabeth Burn",NA,1097.307373,0,1,1,5
"Veronica odora","CHR 510520",170.46,-45.4597,"gbif",NA,NA,649.612854,0,1,1,4
"Veronica odora","AK236786",168.8986394,-45.46694072,"eflora","New Zealand, South Island, Central Otago Ecological Region, Old Man Ecological District, Garvie Mts, east side of Lake Gow",NA,1370.461426,0,1,1,8
"Veronica odora","WELT.SP081426",169.9928407,-45.47122626,"eflora","Rock and Pillar Range, McPhees Rock.",NA,1310,0,1,1,8
"Veronica odora","10894116",170.00124,-45.475721,"gbif",NA,NA,1242.96875,0,1,1,6
"Veronica odora","CHR 470280",168.898,-45.4768,"gbif",NA,NA,1377.81665,0,1,1,4
"Veronica odora","CHR470280",168.8979,-45.47683,"eflora","Southland; Garvie Mts, east side of Gow Lake.",NA,1373.74646,0,1,1,5
"Veronica odora","WELT.SP081447",168.93748,-45.47910678,"eflora","Garvie Mountains, beside Blue Lake Creek c. 100m southwest of Blue Lake Huts.",NA,1292.14856,0,1,1,8
"Veronica odora","5090972",168.8304,-45.4801,"lucas",NA,"AA160",986.112793,0,1,1,4
"Veronica odora","5090973",168.8304,-45.4801,"lucas",NA,"AA160",986.112793,0,1,1,4
"Veronica odora","CHR470274",168.9373,-45.4818,"eflora","Southland; Garvie Mts, across creek from Blue Lake Huts",NA,1311.869141,0,1,1,4
"Veronica odora","CHR 470274",168.937,-45.4818,"gbif",NA,NA,1312.758179,0,1,1,4
"Veronica odora","AK264481",167.1333333,-45.48333333,"eflora","[New Zealand, South Island], Fiordland, Doubtful Sound, Mt Troup, lower slopes",NA,1201.498169,0,1,1,8
"Veronica odora","CHR 154073",168.394,-45.4838,"gbif",NA,NA,861.8462524,0,1,1,4
"Veronica odora","CHR154073",168.3941,-45.48383,"eflora","Black Rock,  Mid Dome, Southland",NA,861.8462524,0,1,1,5
