"sp","d.tpos","d.tneg","d.fpos","d.fneg","d.probopti","NZ.count","tmax1","tmax2","tmax3","tmax4","q1","q2","w11","w12","ns1","ns2","tmean1","tmean2","w21","w22","w23","w24","nsoil1","nsoil2","tmin1","tmin2","tmin3","tmin4","tmean21","tmean22","tmax1.back","tmax2.back","tmax3.back","tmax4.back","q1.back","q2.back","w11.back","w12.back","ns1.back","ns2.back","tmean1.back","tmean2.back","w21.back","w22.back","w23.back","w24.back","nsoil1.back","nsoil2.back","tmin1.back","tmin2.back","tmin3.back","tmin4.back","tmean21.back","tmean22.back"
"V._biggarii",37,37,3,0,0.212685561,13921,0.000159569,0.202013156,0.571825893,0.746564977,0.000324145,0.202326196,0.759868185,0.898369987,0.191899163,0.295212996,0.302199753,0.302214282,0.630413445,0.960242515,1.855242616,1.976206913,0.03040083,0.067000391,8.23e-05,0.28693506,0.417730152,0.417784954,0.794242097,0.976730725,-9.992021568,0.100657779,18.59129463,27.32824886,0.015907576,9.914003141,75.98681855,89.83699873,0.191899163,0.295212996,-1.401011094,-1.400357288,63.0413445,96.02425152,100,100,0.03040083,0.067000391,-19.99629763,-7.087922279,-1.202143182,-1.19967707,20.74089436,28.95288261
"V._birleyi",32,37,3,0,0.687981087,27892,0.005273421,0.187952827,0.479764494,0.732929193,0.409497793,0.514859459,0.890985625,1.000006813,0.216198147,0.38129566,0.215554947,0.2155552,0.915451153,1.00002657,1.866075902,1.932590487,0.021803953,0.045765663,3.04e-06,0.000577718,0.384470564,0.398189783,0.831876753,1.070374894,-9.736328952,-0.602358654,13.98822469,26.64645964,20.06540634,25.22812539,89.0985625,100,0.216198147,0.38129566,-5.300027387,-5.300015999,91.54511529,100,100,100,0.021803953,0.045765663,-19.99986318,-19.97400268,-2.698824619,-2.081459787,22.43445388,30
"V._buchananii",309,257,73,16,0.647449761,53856,0.006793558,0.143036798,0.763514458,0.804619488,0.166243318,0.197813641,0.907968211,0.948159547,0.006042027,0.018894523,0.132598693,0.197223379,0.772007832,0.778947373,1.478845885,1.510215502,0.04251555,0.046999867,0.093290097,0.093484776,0.388985234,0.425086933,0.727655111,1.009153358,-9.660322101,-2.84816011,28.17572291,30.2309744,8.145943032,9.692888078,90.79682108,94.81595465,0.006042027,0.018894523,-9.033058806,-6.124947959,77.2007832,77.89473732,100,100,0.04251555,0.046999867,-15.80194565,-15.7931851,-2.495664461,-0.871088034,17.74448001,30
"V._calcicola",43,50,0,0,0.813709954,10925,0.038570684,0.26573217,0.549499741,0.574570099,0.2464281,0.250885893,0.410035632,0.636847757,0.317514606,0.321942412,0.302672871,0.361405268,0.992883744,0.997853683,2.171986564,2.401492092,0.041012809,0.042605894,0.364459177,0.407874379,0.934484226,1.07799013,0.601574129,0.614946018,-8.071465821,3.286608514,17.47498704,18.72850493,12.07499534,12.29342709,41.00356316,63.6847757,0.317514606,0.321942412,-1.379720787,1.263237062,99.28837439,99.78536833,100,100,0.041012809,0.042605894,-3.599337021,-1.645652937,22.05179016,25,12.07083581,12.67257079
"V._cheesemanii",119,109,21,6,0.598641479,47423,0.172306071,0.350911799,0.507517193,0.561743041,0.715012454,0.774535752,0.972990216,0.99564223,0.279478953,0.310943268,0.176856291,0.323027726,0.379730697,0.473656859,1.323372787,1.519333634,0.014561354,0.044221793,0.355622112,0.65473977,1.790620076,1.955364425,0.538506141,0.588315207,-1.384696471,7.545589946,15.37585963,18.08715207,35.0356172,37.95225737,97.2990216,99.56422304,0.279478953,0.310943268,-7.0414669,-0.46375234,37.97306972,47.36568589,100,100,0.014561354,0.044221793,-3.997004963,9.463289667,25,25,9.232776334,11.4741843
"V._chionohebe",26,37,3,6,0.668505029,12256,0.070914498,0.198077499,0.481300533,0.720656971,0.198402099,0.19936517,0.358502671,0.498703552,0.111284599,0.440881243,0.092926012,0.400589634,0.069667034,0.271699071,1.064540798,1.129864793,0.012485587,0.114287056,0.002499264,0.043984883,0.319503282,0.432821737,0.798044456,0.843767358,-6.454275113,-0.096125048,14.06502665,26.03284854,9.721722493,9.76891295,35.85026713,49.87035523,0.111284599,0.440881243,-10.81832947,3.026533527,6.966703404,27.16990708,100,100,0.012485587,0.114287056,-19.88753312,-18.02068026,-5.62235233,-0.523021833,20.91200053,22.96953112
"V._ciliolata",136,133,17,11,0.770475307,44171,0.271396574,0.271480966,1.097470392,1.347038521,0.074086023,0.135417802,0.28684003,0.596871583,0.230631329,0.560491848,0.195118563,0.217112357,0.956726238,1.001916479,1.952319903,2.125332917,0.038301474,0.039733257,0.032678855,0.039879722,0.38743416,0.480792075,0.676755003,0.690791189,3.569828719,3.574048284,40,40,3.630237823,6.635493487,28.68400304,59.68715831,0.230631329,0.560491848,-6.219664647,-5.229943915,95.67262385,100,100,100,0.038301474,0.039733257,-18.52945151,-18.2054125,-2.565462778,1.635643391,15.45397514,16.08560353
"V._cockayneana",138,119,21,2,0.290521805,37966,0.1639667,0.210384919,1.068373221,1.277676386,0.174905877,0.20934137,0.141482512,0.349707785,0.287232935,0.291876901,0.296276783,0.297595717,0.990589026,0.996654424,2.235292235,2.480587782,0.005280808,0.046640201,0.117368512,0.209855166,0.573928726,0.619433519,0.467429772,0.520298538,-1.80166499,0.519245943,40,40,8.570408199,10.25774649,14.14825124,34.97077854,0.287232935,0.291876901,-1.667544782,-1.608192735,99.0589026,99.66544241,100,100,0.005280808,0.046640201,-14.71841698,-10.55651751,5.826792657,7.874508355,6.034339745,8.413434211
"V._colensoi",101,92,18,0,0.291538731,77725,0.23623395,0.238809114,0.441773493,0.548782703,0.698996598,0.787870932,0.370170148,0.578732946,0.21467388,0.403812185,0.429701284,0.455328786,0.567229587,0.681579595,1.631983276,1.72146989,0.009181554,0.02790947,0.385847718,0.527366684,0.716993736,0.92194385,0.500679927,0.553348686,1.811697498,1.940455703,12.08867466,17.43913513,34.25084068,38.60568084,37.01701485,57.87329464,0.21467388,0.403812185,4.336557768,5.489795364,56.72295874,68.1579595,100,100,0.009181554,0.02790947,-2.636852694,3.731500765,12.2647181,21.48747326,7.5305967,9.900690859
"V._colostylis",109,96,24,10,0.611093049,64687,0.295947294,0.410360426,1.96909862,2.124030889,0.499510328,0.506393277,0.822101388,1.000121243,0.022689964,0.085379799,0.506874892,0.521140821,0.829627141,1.000665167,2.5072986,2.698743172,0.046067869,0.046102036,0.371123991,0.371596366,0.425047812,0.489460876,1.052928761,1.257458523,4.797364677,10.5180213,40,40,24.47601832,24.81328268,82.21013882,100,0.022689964,0.085379799,7.809370161,8.451336951,82.96271407,100,100,100,0.046067869,0.046102036,-3.299420383,-3.27816353,-0.87284844,2.025739436,30,30
